Abbotsford	49.05798	-122.25257	CA	02
Armstrong	50.44979	-119.20235	CA	02
Burnaby	49.26636	-122.95263	CA	02
Castlegar	49.29984	-117.66894	CA	02
Colwood	48.43293	-123.48591	CA	02
Coquitlam	49.28297	-122.75262	CA	02
Cranbrook	49.49991	-115.76879	CA	02
Duncan	48.78293	-123.70266	CA	02
Enderby	50.5498	-119.15234	CA	02
Fernie	49.49996	-115.06871	CA	02
Fort St. John	56.24988	-120.85292	CA	02
Grand Forks	49.03309	-118.4356	CA	02
Greenwood	49.09979	-118.68561	CA	02
Kamloops	50.66648	-120.3192	CA	02
Kelowna	49.88307	-119.48568	CA	02
Kimberley	49.67071	-115.9776	CA	02
Langford	48.44963	-123.50261	CA	02
Fort Langley	49.16667	-122.58333	CA	02
Merritt	50.11225	-120.7942	CA	02
Nanaimo	49.16638	-123.94003	CA	02
Nelson	49.49985	-117.28553	CA	02
New Westminster	49.20678	-122.91092	CA	02
North Vancouver	49.31636	-123.06934	CA	02
Penticton	49.48062	-119.58584	CA	02
Port Alberni	49.23587	-124.82503	CA	02
Port Coquitlam	49.26637	-122.76932	CA	02
Port Moody	49.29967	-122.86933	CA	02
Prince George	53.9166	-122.75301	CA	02
Prince Rupert	54.31507	-130.32098	CA	02
Quesnel	52.97842	-122.4931	CA	02
Revelstoke	50.98317	-118.2023	CA	02
Richmond	49.17003	-123.13683	CA	02
Rossland	49.08313	-117.80224	CA	02
Salmon Arm	50.76651	-119.30238	CA	02
Surrey	49.10635	-122.82509	CA	02
Vancouver	49.24966	-123.11934	CA	02
Vernon	50.0261	-126.36157	CA	02
Victoria	48.43294	-123.3693	CA	02
